Date,City,Bus_Ridership,Train_Ridership,Avg_Temp (°C),Rainfall_mm,PM2.5 (µg/m³),AQI_Level,CO2 (ppm),CO (ppm)
14-02-2025,Mumbai,123261,83090,25.6,1.6,54.2,Unhealthy for Sensitive Groups,409.5,0.66
15-02-2025,Mumbai,124911,79456,23.2,2.8,79.1,Unhealthy,395.3,0.68
16-02-2025,Mumbai,91775,92458,27.1,0.4,95.1,Unhealthy,416.3,0.66
17-02-2025,Bengaluru,,90571,26.7,1.5,67,Unhealthy,417.7,0.61
18-02-2025,Mumbai,125550,107641,30.1,4.4,62.9,Unhealthy,404.3,0.54
19-02-2025,Delhi,124579,87800,25.9,7.4,55.1,Unhealthy,399,0.51
20-02-2025,Delhi,136188,105699,25.6,3.3,59.6,Unhealthy,407.1,0.76
21-02-2025,Delhi,129134,93702,29.4,3.7,83.6,Unhealthy,403.2,0.65
22-02-2025,Delhi,132367,,25.3,1.2,104.3,Unhealthy,433.5,0.84
23-02-2025,Delhi,125419,82487,29,8.5,90.8,Unhealthy,400.8,0.52
24-02-2025,Mumbai,,85197,38.7,0,59.7,Unhealthy,431.8,0.61
25-02-2025,Mumbai,,66311,28.8,5.1,92.2,Unhealthy,441.5,1.28
26-02-2025,Bengaluru,96012,95552,30.7,8.2,24.3,Moderate,421.8,0.69
27-02-2025,Delhi,116627,96291,23.2,1.4,88,Unhealthy,405.7,0.53
28-02-2025,Delhi,115176,87655,28.4,0,84,Unhealthy,386.7,0.45
01-03-2025,Bengaluru,117650,88961,25.8,0,83.8,Unhealthy,415.9,0.68
02-03-2025,Delhi,108868,89783,28.9,5.8,61.2,Unhealthy,411,0.56
03-03-2025,Bengaluru,121436,86952,26,0,,,393.5,0.43
04-03-2025,Delhi,123284,93566,26.5,0,65.7,Unhealthy,405.7,0.71
05-03-2025,Delhi,115502,79900,34.8,4.2,,,390.3,0.73
06-03-2025,Delhi,110228,82311,26,0,49.1,Unhealthy for Sensitive Groups,395.4,0.69
07-03-2025,Bengaluru,130910,86503,34.4,1.5,95.4,Unhealthy,400.4,0.64
08-03-2025,Delhi,115505,85433,28.6,3.4,74,Unhealthy,407.4,0.45
09-03-2025,Bengaluru,119225,96746,22.7,16,82.9,Unhealthy,392.2,0.52
10-03-2025,Mumbai,101741,91628,20.3,0,116.4,Unhealthy,407.5,0.73
11-03-2025,Bengaluru,126946,88021,26.3,0.2,54.7,Unhealthy for Sensitive Groups,417.6,0.47
12-03-2025,Bengaluru,123332,86089,29.4,11.4,130.4,Unhealthy,411.2,0.66
13-03-2025,Delhi,104515,91713,29.1,5.1,,,381.1,0.56
14-03-2025,Bengaluru,107791,97355,26.9,9.3,110.3,Unhealthy,417.6,0.58
15-03-2025,Mumbai,115798,93485,25,1.3,75.4,Unhealthy,399.1,0.66
16-03-2025,Mumbai,130021,98615,29.3,1.5,53.1,Unhealthy for Sensitive Groups,385.3,0.44
17-03-2025,Delhi,104043,81911,25.7,0,,,395.8,0.7
18-03-2025,Delhi,136370,90376,27.9,0,92.1,Unhealthy,399.9,0.57
19-03-2025,Delhi,109123,91993,26.7,0,37.2,Unhealthy for Sensitive Groups,402.1,0.75
20-03-2025,Bengaluru,133729,87771,29,7.6,109.7,Unhealthy,411.7,0.61
21-03-2025,Bengaluru,137874,89419,28.7,6,78.7,Unhealthy,420.1,0.75
22-03-2025,Bengaluru,119724,95463,29.6,9.6,68.3,Unhealthy,401.8,0.67
23-03-2025,Mumbai,122430,94276,29.8,0,76.7,Unhealthy,400.7,0.54
24-03-2025,Bengaluru,124899,97643,32.8,5,69.2,Unhealthy,402,0.6
25-03-2025,Mumbai,121550,84987,23.5,0,37.4,Unhealthy for Sensitive Groups,408.2,0.63
26-03-2025,Delhi,104506,93083,25.4,0,87.2,Unhealthy,395.5,0.72
27-03-2025,Mumbai,133683,96717,30.2,0.9,59.8,Unhealthy,414.1,0.72
28-03-2025,Bengaluru,107659,77784,31.2,5.1,57,Unhealthy,409.4,0.59
29-03-2025,Delhi,133817,84515,29.4,0.8,64.5,Unhealthy,394.7,0.74
30-03-2025,Bengaluru,106699,94186,27.5,2.5,66.6,Unhealthy,409.1,0.58
31-03-2025,Delhi,130009,95369,31.1,0,87.3,Unhealthy,405.7,0.59
01-04-2025,Bengaluru,125218,87848,31.3,9.1,126.2,Unhealthy,411,0.62
02-04-2025,Mumbai,126376,69347,25.2,0,,,398,0.61
03-04-2025,Delhi,114477,,32.7,0,114.4,Unhealthy,435.6,0.88
04-04-2025,Bengaluru,112998,,30.3,1,80.3,Unhealthy,425.2,0.54
05-04-2025,Mumbai,102706,93266,27,0,93.4,Unhealthy,400.7,0.75
06-04-2025,Mumbai,,84255,29.4,0,69.6,Unhealthy,403.4,0.71
07-04-2025,Mumbai,103888,97747,26.8,1.5,,,402.7,0.6
08-04-2025,Bengaluru,136390,90828,22.4,1.6,46.6,Unhealthy for Sensitive Groups,403.7,0.57
09-04-2025,Mumbai,121041,89191,29.6,8.4,67,Unhealthy,406.4,0.59
10-04-2025,Bengaluru,114638,89178,29.3,0,82.6,Unhealthy,417.1,0.51
11-04-2025,Delhi,117174,94152,25.5,2.7,82.4,Unhealthy,388.4,0.63
12-04-2025,Delhi,110134,90533,28.8,6.9,87.3,Unhealthy,406.4,0.65
13-04-2025,Delhi,121031,90684,32.1,0,106.8,Unhealthy,403.9,0.61
14-04-2025,Mumbai,117707,82335,29.4,4.6,70.2,Unhealthy,395.4,0.58
15-04-2025,Bengaluru,117172,83072,26.6,0,43.1,Unhealthy for Sensitive Groups,426.7,0.72
16-04-2025,Bengaluru,148439,83037,27.5,7.9,95.3,Unhealthy,417.4,0.5
17-04-2025,Delhi,114230,96869,30.4,6.2,91.7,Unhealthy,381.6,0.7
18-04-2025,Mumbai,119221,93320,29.3,0.5,92.1,Unhealthy,404.6,0.68
19-04-2025,Mumbai,109816,82168,28.7,0,98.9,Unhealthy,397.1,0.65
20-04-2025,Delhi,101637,81650,27.3,0,69,Unhealthy,402.6,0.71
21-04-2025,Mumbai,108802,87559,31,2.3,77.4,Unhealthy,413.5,0.75
22-04-2025,Delhi,134382,99571,26.5,0,111.6,Unhealthy,398.9,0.57
23-04-2025,Bengaluru,101589,79506,27.9,0.1,,,406.8,0.64
24-04-2025,Delhi,105374,95989,29.6,9.1,81.1,Unhealthy,422.3,0.64
25-04-2025,Delhi,105847,72495,29.5,3.7,62.6,Unhealthy,406.6,0.45
26-04-2025,Mumbai,126270,92443,27.6,0,107,Unhealthy,399.4,0.66
27-04-2025,Delhi,103774,95780,31.6,0,116.7,Unhealthy,397.9,0.52
28-04-2025,Mumbai,123768,99213,26.5,10.3,73.8,Unhealthy,411.7,0.69
29-04-2025,Bengaluru,125039,87357,29.3,3.8,77.3,Unhealthy,406.3,0.74
30-04-2025,Mumbai,108687,88988,29.5,1.5,102.6,Unhealthy,395.9,0.6
01-05-2025,Mumbai,117678,96423,31.2,3.5,125.1,Unhealthy,378,0.57
02-05-2025,Mumbai,146917,77206,24.2,0,57.6,Unhealthy,381.3,0.6
03-05-2025,Delhi,98565,94766,28.7,4.4,79.6,Unhealthy,396.7,0.66
04-05-2025,Mumbai,117030,83419,22.6,6.9,100,Unhealthy,412.6,0.74
05-05-2025,Bengaluru,113772,89629,26.4,0,111.2,Unhealthy,409.5,0.82
06-05-2025,Bengaluru,126805,88117,26.9,2.8,75.6,Unhealthy,385.4,0.78
07-05-2025,Mumbai,111531,90580,25.6,0,98,Unhealthy,410.3,0.71
08-05-2025,Mumbai,,91488,28.5,5.4,83.7,Unhealthy,420.8,0.82
09-05-2025,Bengaluru,107294,85039,30.1,0,50.5,Unhealthy for Sensitive Groups,397.6,0.65
10-05-2025,Bengaluru,121630,91982,22.2,0,52.4,Unhealthy for Sensitive Groups,398.1,0.57
11-05-2025,Bengaluru,110921,87593,28.6,7.9,89.4,Unhealthy,396.3,0.76
12-05-2025,Delhi,121408,88664,27.2,8.8,,,386.4,0.41
13-05-2025,Bengaluru,118515,85807,28.5,0,59.2,Unhealthy,411.8,0.52
14-05-2025,Mumbai,127858,82694,27.2,4.1,,,407.2,0.65
15-05-2025,Bengaluru,121555,89041,25.2,1.7,99.2,Unhealthy,405.1,0.44
16-05-2025,Delhi,132640,95399,25.6,0,94.4,Unhealthy,400.6,0.63
17-05-2025,Mumbai,131303,,30,0.6,94.2,Unhealthy,416.4,0.69
18-05-2025,Bengaluru,,82754,26.4,0,84.9,Unhealthy,426.9,0.69
19-05-2025,Mumbai,126400,90273,31.2,3.1,68.5,Unhealthy,413.8,0.8
20-05-2025,Bengaluru,116127,95658,28.4,3.4,77.3,Unhealthy,409.5,0.68
21-05-2025,Mumbai,115519,91514,28.3,0,76.7,Unhealthy,402.8,0.5
22-05-2025,Bengaluru,112177,91456,29.2,0,110.4,Unhealthy,388.9,0.58
23-05-2025,Mumbai,114228,79425,28.1,7.2,82.4,Unhealthy,393.6,0.44
24-05-2025,Delhi,110033,86950,31.1,4,71,Unhealthy,389.2,0.72
25-05-2025,Delhi,114061,81522,28,6.4,109.4,Unhealthy,391.1,0.53
26-05-2025,Mumbai,141616,88931,27.1,0,,,391.9,0.7
27-05-2025,Bengaluru,128520,87488,28.4,2,82.4,Unhealthy,407.1,0.58
28-05-2025,Bengaluru,153041,89091,32.5,0,92.7,Unhealthy,402.2,0.76
29-05-2025,Mumbai,102004,85326,24.4,0,60,Unhealthy,402.7,0.54
